id,name,artist_id,artist,playlist_id,playlist,genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,key,mode,time_signature
4BP3uh0hFLFRb5cjsgLqDh,Fortunate Son,3IYUhFvPQItj6xySrBmZkd,Creedence Clearwater Revival,37i9dQZF1DWXRqgorJj26U,Rock Classics,"classic rock,country rock,rock,southern rock,swamp rock",0.64,0.663,-7.516,0.0374,0.201,0.00806,0.152,0.663,132.77,140773,0,1,4
4KfSdst7rW39C0sfhArdrz,Barracuda,34jw2BbxjoYalTp8cJFCPv,Heart,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,classic rock,glam metal,hard rock,heartland rock,mellow gold,new wave pop,rock,singer-songwriter,soft rock",0.548,0.691,-13.553,0.0369,0.015,0.106,0.144,0.667,137.145,261933,4,0,4
2EC9IJj7g0mN1Q5VrZkiYY,Rebel Rebel - 2016 Remaster,0oSGxfWSnnOXhD2fKuz2Gy,David Bowie,37i9dQZF1DWXRqgorJj26U,Rock Classics,"art rock,classic rock,glam rock,permanent wave,rock",0.635,0.686,-15.648,0.053,0.209,0.0176,0.282,0.464,125.988,274747,9,1,4
6cr6UDpkjEaMQ80OjWqEBQ,Sultans of Swing,0WwSkZ7LtFUFjGjMZBMt6T,Dire Straits,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,classic rock,mellow gold,rock",0.73,0.868,-7.325,0.0288,0.0632,0.0661,0.318,0.923,148.217,350400,5,1,4
37ZJ0p5Jm13JPevGcx4SkF,Livin' On A Prayer,58lV9VcRSjABbAbfWS6skp,Bon Jovi,37i9dQZF1DWXRqgorJj26U,Rock Classics,"glam metal,rock",0.532,0.887,-3.757,0.0335,0.0778,0.000214,0.294,0.795,122.511,249293,0,1,4
1xsYj84j7hUDDnTTerGWlH,Dream On,7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,classic rock,hard rock,rock",0.392,0.476,-7.583,0.0249,0.397,0.000163,0.309,0.234,78.031,267597,1,1,4
0PdM2a6oIjqepoEfcJo0RO,Pour Some Sugar On Me - Remastered 2017,6H1RjVyNruCmrBEWRbD0VZ,Def Leppard,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,classic rock,glam metal,hard rock,nwobhm,rock",0.267,0.953,-4.899,0.096,0.00211,0,0.283,0.568,84.989,267307,1,0,4
5sFDReWLrZHLFZFjHsjUTS,Would? (2022 Remaster),64tNsm6TnZe2zpcMVMOoHL,Alice In Chains,37i9dQZF1DWXRqgorJj26U,Rock Classics,"alternative metal,alternative rock,grunge,hard rock,nu metal,rock",0.305,0.833,-7.981,0.0398,0.000327,2.36e-05,0.091,0.586,100.675,206773,6,1,4
05RgAMGypEvqhNs5hPCbMS,Panama - 2015 Remaster,2cnMpRsOVqtPMfq7YiFE6K,Van Halen,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,classic rock,hard rock,rock",0.526,0.978,-5.436,0.108,0.00122,4.75e-05,0.0744,0.451,141.167,210227,8,1,4
2RaA6kIcvomt77qlIgGhCT,Breaking the Law,2tRsMl4eGxwoNabM08Dm4I,Judas Priest,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,alternative metal,birmingham metal,glam metal,hard rock,metal,rock",0.362,0.961,-5.664,0.0857,0.024,9.35e-06,0.159,0.491,164.019,153840,2,1,4
